id,display,kinds,k,n,orders,latex
0,0,0,0,0,0,0
1,ι,0,0,1,,\iota
2,η,0,1,2,,\eta
3,ν',1,3,3,4,\nu'
4,ν,0,3,4,,\nu
5,Δ(ι13),1,5,6,,\Delta(\iota_{13})
6,σ''',1,7,5,2,\sigma'''
7,σ'',1,7,6,4,\sigma''
8,σ',1,7,7,8,\sigma'
9,σ,0,7,8,,\sigma
10,ε,0,8,3,2,\varepsilon
11,ν̅,0,8,6,8,\bar{\nu}
12,μ,0,9,3,2,\mu
13,Δ(ι21),1,9,10,,\Delta(\iota_{21})
14,ε',1,10,3,4,\varepsilon'
15,μ',1,11,3,4,\mu'
16,ζ,0,11,5,8,\zeta
17,Δ(ι25),1,11,12,,\Delta(\iota_{25})
18,Δ(σ13),1,12,6,16,\Delta(\sigma_{13})
19,Δ(ν21),1,12,10,4,\Delta(\nu_{21})
20,θ',1,12,11,2,\theta'
21,θ,1,12,12,2,\theta
22,Δ(ι29),1,13,14,,\Delta(\iota_{29})
23,κ,0,14,7,4,\kappa
24,Δ(ν25),1,14,12,4,\Delta(\nu_{25})
25,ε̅,0,15,3,2,\bar{\varepsilon}
26,ρ^IV,1,15,5,2,\rho^{IV}
27,ρ''',1,15,6,4,\rho'''
28,ρ'',1,15,7,8,\rho''
29,ρ',1,15,9,16,\rho'
30,ρ,0,15,13,32,\rho
31,Δ(ι33),1,15,16,,\Delta(\iota_{33})
32,ζ',1,16,6,8,\zeta'
33,Δ(σ21),1,16,10,16,\Delta(\sigma_{21})
34,ω,0,16,14,8,\omega
35,η*',1,16,15,2,\eta^{*}{'}
36,η*,0,16,16,2,\eta^{*}
37,ε̅',1,17,3,4,\bar{\varepsilon}{'}
38,μ̅,0,17,3,2,\bar{\mu}
39,Δ(Eθ),1,17,6,2,\Delta(E\theta)
40,ε*,0,17,12,2,\varepsilon^{*}
41,Δ(ι37),1,17,18,,\Delta(\iota_{37})
42,λ'',1,18,10,8,\lambda''
43,ξ'',1,18,10,2,\xi''
44,λ',1,18,11,8,\lambda'
45,ξ',1,18,11,4,\xi'
46,ξ,0,18,12,32,\xi
47,λ,1,18,13,8,\lambda
48,ν*,0,18,16,8,\nu^{*}
49,μ̅',1,19,3,4,\bar{\mu}{'}
50,ζ̅,0,19,5,8,\bar{\zeta}
51,σ̅,0,19,6,32,\bar{\sigma}
52,ω',1,19,12,2,\omega'
53,Δ(ι41),1,19,20,,\Delta(\iota_{41})
54,Δ(ρ13),1,20,6,32,\Delta(\rho_{13})
55,κ̅',1,20,6,4,\bar{\kappa}{'}
56,κ̅,0,20,7,8,\bar{\kappa}
57,β',1,20,10,8,\beta'
58,β'',1,20,11,2,\beta''
59,Δ(μ25),1,20,12,2,\Delta(\mu_{25})
60,β''',1,20,12,2,\beta'''
61,Δ(σ29),1,20,14,16,\Delta(\sigma_{29})
62,Δ(ν37),1,20,18,4,\Delta(\nu_{37})
63,β̅,1,20,19,2,\bar{\beta}
64,Δ(η41),1,20,20,2,\Delta(\eta_{41})
65,β̅̅,1,20,20,2,\bar{\bar{\beta}}
66,Δ(ι43),1,20,21,2,\Delta(\iota_{43})
67,α,1,21,5,2,\alpha
68,Δ(ι45),1,21,22,,\Delta(\iota_{45})
69,σ*''',1,22,12,32,\sigma^{*}{'''}
70,σ*'',1,22,14,16,\sigma^{*}{''}
71,σ*',1,22,15,16,\sigma^{*}{'}
72,σ*,0,22,16,16,\sigma^{*}
73,Δ(ν41),1,22,20,8,\Delta(\nu_{41})
74,α̅,1,23,3,4,\bar{\alpha}
75,ρ̅''',1,23,5,2,\bar{\rho}{'''}
76,φ,0,23,5,2,\phi
77,ρ̅'',1,23,6,4,\bar{\rho}{''}
78,Δ(λ),1,23,6,8,\Delta(\lambda)
79,Δ(ξ13),1,23,6,4,\Delta(\xi_{13})
80,ρ̅',1,23,7,8,\bar{\rho}{'}
81,ρ̅,0,23,9,16,\bar{\rho}
82,ψ,0,23,10,4,\psi
83,ε̅*',1,23,15,2,\bar{\varepsilon}^{*}{'}
84,ν̅*',1,23,15,2,\bar{\nu}^{*}{'}
85,ε̅*,0,23,16,2,\bar{\varepsilon}^{*}
86,ν̅*,0,23,16,2,\bar{\nu}^{*}
87,Δ(ι49),1,23,24,,\Delta(\iota_{49})
88,δ,0,24,3,2,\delta
89,ζ̅',0,24,6,8,\bar{\zeta}{'}
90,σ̅',0,24,6,2,\bar{\sigma}{'}
91,Δ(λη31),1,24,6,2,\Delta(\lambda\eta_{31})
92,Δ(ξ13η31),1,24,6,2,\Delta(\xi_{13}\eta_{31})
93,֮ε,0,24,10,4,\widetilde{\varepsilon}
94,Δ(ρ21),1,24,10,32,\Delta(\rho_{21})
95,ζ*,1,24,14,8,\zeta^{*}
96,μ*',1,24,15,2,\mu^{*}{'}
97,μ*,0,24,16,2,\mu^{*}
98,Δ(σ37),1,24,18,16,\Delta(\sigma_{37})
99,Δ(ν45),1,24,22,4,\Delta(\nu_{45})
100,֮η',1,24,23,2,\widetilde{\eta}{'}
101,֮η,1,24,24,2,\widetilde{\eta}
102,φ',1,25,3,4,\phi'
103,"μ3,",0,25,3,2,"\mu_{3,"
104,φ'',1,25,5,8,\phi''
105,Δ(κ̅13),1,25,6,4,\Delta(\bar{\kappa}_{13})
106,A1,1,12,12,2,A_{1}
107,Δ(E A1ε25),1,25,6,2,\Delta(E A_{1}\varepsilon_{25})
108,A1^(1),1,20,12,2,A_{1}^{(1)}
109,Δ(E A1^(1)),1,25,6,2,\Delta(E A_{1}^{(1)})
110,φ''',1,25,7,4,\phi'''
111,K1,1,25,11,2,K_{1}
112,D1,1,16,15,2,D_{1}
113,B1,1,16,16,8,B_{1}
114,D2,1,24,23,2,D_{2}
115,B2,1,24,24,2,B_{2}
116,Δ(ι53),1,25,26,,\Delta(\iota_{53})
117,Δ(E A1μ25),1,26,6,2,\Delta(E A_{1}\mu_{25})
118,Δ(λν31),1,26,6,4,\Delta(\lambda\nu_{31})
119,τ'',1,26,10,8,\tau''
120,R1,1,26,10,4,R_{1}
121,τ''',1,26,11,8,\tau'''
122,C1,1,12,11,2,C_{1}
123,τ^IV,1,26,12,64,\tau^{IV}
124,M1^(1),1,26,16,8,M_{1}^{(1)}
125,M2''',1,26,18,8,M'''_{2}
126,M2'',1,26,19,8,M''_{2}
127,Δ(σ41),1,26,20,16,\Delta(\sigma_{41})
128,M2',1,26,21,8,M'_{2}
129,M2,1,26,24,8,M_{2}
130,α2''',1,23,7,8,\alpha'''_{2}
131,μ3',1,27,3,4,\mu'_{3}
132,"ζ3,",0,27,5,8,"\zeta_{3,"
133,Δ(ρ13σ28),1,27,6,16,\Delta(\rho_{13}\sigma_{28})
134,Δ(ν*21),1,27,10,4,\Delta(\nu^{*}_{21})
135,C1^II,1,27,11,2,C_{1}^{II}
136,C1^(1),1,20,11,2,C_{1}^{(1)}
137,A1^II,1,27,12,2,A_{1}^{II}
138,C2^I,1,27,19,2,C_{2}^{I}
139,C2,1,20,19,2,C_{2}
140,A2^I,1,27,20,2,A_{2}^{I}
141,A2,1,20,20,2,A_{2}
142,V2,1,27,22,4,V_{2}
143,Δ(ι57),1,27,28,,\Delta(\iota_{57})
144,Δ(ρ̅13),1,28,6,16,\Delta(\bar{\rho}_{13})
145,F1^(1),1,28,10,8,F_{1}^{(1)}
146,C1^(2),1,28,11,2,C_{1}^{(2)}
147,A1^(2),1,28,12,2,A_{1}^{(2)}
148,Δ(ρ29),1,28,14,32,\Delta(\rho_{29})
149,F2,1,28,18,8,F_{2}
150,C2^(1),1,28,19,2,C_{2}^{(1)}
151,A2^(1),1,28,20,2,A_{2}^{(1)}
152,Δ(σ45),1,28,22,16,\Delta(\sigma_{45})
153,Δ(ν53),1,28,26,4,\Delta(\nu_{53})
154,C3,1,28,27,2,C_{3}
155,A3,1,28,28,2,A_{3}
156,δ',1,29,6,4,\delta'
157,֮ε',1,29,6,4,\widetilde{\varepsilon}'
158,δ'',1,29,7,8,\delta''
159,Δ(κ̅21),1,29,10,8,\Delta(\bar{\kappa}_{21})
160,Δ(EA2),1,29,10,2,\Delta(E A_{2})
161,Δ(ν*25),1,29,12,8,\Delta(\nu_{25}^{*})
162,L1,1,29,15,2,L_{1}
163,P1,1,29,16,2,P_{1}
164,Δ(ι61),1,29,30,,\Delta(\iota_{61})
165,Δ(ξ13σ31),1,30,6,4,\Delta(\xi_{13}\sigma_{31})
166,D1^I,1,23,15,2,D_{1}^{I}
167,Δ(E A2η41),1,30,10,2,\Delta(E A_{2}\eta_{41})
168,θ^VII,1,30,12,32,\theta^{VII}
169,θ^VI,1,30,14,64,\theta^{VI}
170,θ^V,1,30,15,64,\theta^{V}
171,θ^IV,1,30,16,128,\theta^{IV}
172,θ''',1,30,20,128,\theta'''
173,θ'',1,30,22,64,\theta''
174,θ'_,0,30,23,64,\theta'
175,Δ(σ49),1,30,24,16,\Delta(\sigma_{49})
176,Δ(ν57),1,30,28,8,\Delta(\nu_{57})
177,Δ(E τ^IV),1,31,6,8,\Delta(E \tau^{IV})
178,Δ(E A1κ25),1,31,6,2,\Delta(E A_{1}\kappa_{25})
179,α3'',1,31,6,4,\alpha''_{3}
180,α3''',1,31,7,8,\alpha'''_{3}
181,G1,1,24,14,8,G_{1}
182,D1^(1),1,24,15,2,D_{1}^{(1)}
183,α3^IV,1,31,9,16,\alpha_{3}^{IV}
184,Δ(σ*21),1,31,10,8,\Delta(\sigma_{21}^{*})
185,κ*,0,31,10,4,\kappa^{*}
186,Δ(κ̅25),1,31,12,4,\Delta(\bar{\kappa}_{25})
187,α3^V,1,31,13,32,\alpha_{3}^{V}
188,ω*,0,31,14,8,\omega^{*}
189,"ρ3,",0,31,14,64,"\rho_{3,"
190,D1^II,1,31,15,2,D_{1}^{II}
191,κ*',1,31,15,2,\kappa^{*}{'}
192,B1^II,1,31,16,2,B_{1}^{II}
193,D2^I,1,31,23,2,D_{2}^{I}
194,B2^I,1,31,24,2,B_{2}^{I}
195,Δ(ι65),1,31,32,,\Delta(\iota_{65})
196,α3',1,31,5,2,\alpha'_{3}
197,B1^(1),1,24,16,2,B_{1}^{(1)}
198,G0,1,16,6,8,G_{0}
199,F1,1,20,10,8,F_{1}
200,A1^I,1,19,12,2,A_{1}^{I}
201,B1^I,1,23,16,2,B_{1}^{I}
202,C1^I,1,19,11,2,C_{1}^{I}
203,G0^(1),1,24,6,8,G_{0}^{(1)}
204,α0^IV,1,7,9,16,\alpha_{0}^{IV}
205,α0''',1,7,7,8,\alpha'''_{0}
206,α0'',1,7,6,4,\alpha''_{0}
207,α0',1,7,5,2,\alpha'_{0}
208,α1^IV,1,15,9,16,\alpha_{1}^{IV}
209,α1''',1,15,7,8,\alpha'''_{1}
210,α1'',1,15,6,4,\alpha''_{1}
211,α1',1,15,5,2,\alpha'_{1}
212,α2^IV,1,23,9,16,\alpha_{2}^{IV}
213,α2'',1,23,6,4,\alpha''_{2}
214,α2',1,23,5,2,\alpha'_{2}
215,G0^(2),1,32,6,8,G_{0}^{(2)}
216,Δ(σ13κ̅20),1,32,6,4,\Delta(\sigma_{13}\bar{\kappa}_{20})
217,Δ(EA1^II),1,32,6,2,\Delta(EA_1^{II})
218,Δ(EA1^(1)σ33),1,32,6,2,\Delta(EA_1^{(1)}\sigma_{33})
219,"μ4,",0,33,3,2,"\mu_{4,"
220,Δ(EA1^(2)),1,33,6,2,\Delta(EA_1^{(2)})
221,Δ(EA1ω25),1,33,6,2,\Delta(EA_1\omega_{25})
222,Δ(EA1σ25μ32),1,33,6,2,\Delta(EA_1\sigma_{25}\mu_{32})
223,κ',0,33,6,2,\kappa'
224,G1^(1),1,32,14,8,G_{1}^{(1)}
225,G2,1,32,22,8,G_{2}
226,B1^(2),1,32,16,2,B_{1}^{(2)}
227,B2^(1),1,32,24,2,B_{2}^{(1)}
228,B3,1,32,32,2,B_{3}
229,D1^(2),1,32,15,2,D_{1}^{(2)}
300,D2^(1),1,32,23,2,D_{2}^{(1)}
301,D3,1,32,31,2,D_{3}
302,֮β,1,33,6,2,\widetilde{\beta}''